marca,supermercado,categoria,precio,prediction
GENERICA,ACUENTA,Despensa General,3790.0,0
TUCAPEL,ACUENTA,Arroz,1000.0,1
ACUENTA,ACUENTA,Aceites,1390.0,1
ACUENTA,ACUENTA,Harinas,790.0,1
ACE,ACUENTA,Aceites,2850.0,1
NETO,ACUENTA,Aceites,1850.0,1
TUCAPEL,ACUENTA,Arroz,2150.0,1
GENERICA,ACUENTA,Despensa General,940.0,0
SELECTA,ACUENTA,Harinas,2000.0,1
GENERICA,ACUENTA,Despensa General,1750.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Pastas,970.0,2
IANSA,ACUENTA,Azúcares,1290.0,1
NETO,ACUENTA,Conservas,1000.0,1
MIRAFLORES,ACUENTA,Arroz,2350.0,1
MIRAFLORES,ACUENTA,Aceites,2790.0,1
LIDER,ACUENTA,Azúcares,1000.0,1
ACUENTA,ACUENTA,Despensa General,1000.0,0
ACUENTA,ACUENTA,Despensa General,270.0,0
GENERICA,ACUENTA,Despensa General,1000.0,0
CAROZZI,ACUENTA,Despensa General,940.0,0
LA ROMA,ACUENTA,Arroz,1000.0,1
KRAFT,ACUENTA,Salsas,2890.0,1
GENERICA,ACUENTA,Despensa General,2350.0,0
GENERICA,ACUENTA,Despensa General,2290.0,0
NETO,ACUENTA,Despensa General,1850.0,0
GENERICA,ACUENTA,Arroz,1650.0,1
BANQUETE,ACUENTA,Arroz,2000.0,1
GENERICA,ACUENTA,Despensa General,2650.0,0
LIDER,ACUENTA,Despensa General,6490.0,0
LIDER,ACUENTA,Despensa General,1450.0,0
LIDER,ACUENTA,Azúcares,1190.0,1
GENERICA,ACUENTA,Despensa General,1550.0,0
ACUENTA,ACUENTA,Despensa General,850.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Despensa General,770.0,0
KRAFT,ACUENTA,Despensa General,1790.0,0
GENERICA,ACUENTA,Despensa General,750.0,0
ACUENTA,ACUENTA,Despensa General,1650.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
NETO,ACUENTA,Conservas,1850.0,1
LIDER,ACUENTA,Despensa General,550.0,0
GENERICA,ACUENTA,Pastas,450.0,2
LIDER,ACUENTA,Despensa General,890.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
LIDER,ACUENTA,Despensa General,550.0,0
VIVO,ACUENTA,Despensa General,490.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Harinas,14990.0,1
ACUENTA,ACUENTA,Aceites,7890.0,1
GENERICA,ACUENTA,Pastas,990.0,2
LIDER,ACUENTA,Azúcares,4490.0,1
GENERICA,ACUENTA,Legumbres,1390.0,1
NETO,ACUENTA,Legumbres,1390.0,1
GENERICA,ACUENTA,Despensa General,2650.0,0
GENERICA,ACUENTA,Harinas,1000.0,1
ACUENTA,ACUENTA,Pastas,430.0,2
ACUENTA,ACUENTA,Pastas,430.0,2
GENERICA,ACUENTA,Pastas,970.0,2
GENERICA,ACUENTA,Despensa General,1450.0,0
CAROZZI,ACUENTA,Pastas,990.0,2
ACE,ACUENTA,Aceites,2450.0,1
GENERICA,ACUENTA,Pastas,990.0,2
VIVO,ACUENTA,Despensa General,490.0,0
IANSA,ACUENTA,Despensa General,2990.0,0
GENERICA,ACUENTA,Despensa General,740.0,0
GENERICA,ACUENTA,Despensa General,1000.0,0
GENERICA,ACUENTA,Harinas,19590.0,1
NETO,ACUENTA,Despensa General,2150.0,0
ACUENTA,ACUENTA,Despensa General,390.0,0
IANSA,ACUENTA,Azúcares,1000.0,1
NETO,ACUENTA,Despensa General,1250.0,0
ACUENTA,ACUENTA,Despensa General,2350.0,0
CAROZZI,ACUENTA,Pastas,2450.0,2
ACUENTA,ACUENTA,Pastas,460.0,2
CAROZZI,ACUENTA,Pastas,1890.0,2
GENERICA,ACUENTA,Despensa General,740.0,0
NETO,ACUENTA,Conservas,700.0,1
GENERICA,ACUENTA,Despensa General,1000.0,0
ACUENTA,ACUENTA,Salsas,2190.0,1
MAGGI,ACUENTA,Despensa General,1000.0,0
LUCCHETTI,ACUENTA,Pastas,970.0,2
GENERICA,ACUENTA,Arroz,1490.0,1
LUCCHETTI,ACUENTA,Pastas,970.0,2
GENERICA,ACUENTA,Arroz,1890.0,1
GENERICA,ACUENTA,Despensa General,740.0,0
GENERICA,ACUENTA,Despensa General,1390.0,0
NETO,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,630.0,0
IANSA,ACUENTA,Azúcares,1350.0,1
GENERICA,ACUENTA,Despensa General,770.0,0
ACUENTA,ACUENTA,Azúcares,750.0,1
IANSA,ACUENTA,Despensa General,2350.0,0
GENERICA,ACUENTA,Despensa General,590.0,0
GENERICA,ACUENTA,Despensa General,940.0,0
IANSA,ACUENTA,Azúcares,5290.0,1
MAGGI,ACUENTA,Despensa General,630.0,0
GENERICA,ACUENTA,Harinas,3890.0,1
GOURMET,ACUENTA,Despensa General,2550.0,0
GENERICA,ACUENTA,Despensa General,630.0,0
NETO,ACUENTA,Despensa General,1690.0,0
GENERICA,ACUENTA,Harinas,1190.0,1
GENERICA,ACUENTA,Legumbres,1390.0,1
ACE,ACUENTA,Aceites,2650.0,1
GENERICA,ACUENTA,Despensa General,940.0,0
ACUENTA,ACUENTA,Aceites,2390.0,1
ACUENTA,ACUENTA,Despensa General,2290.0,0
GENERICA,ACUENTA,Arroz,1190.0,1
GENERICA,ACUENTA,Pastas,450.0,2
ACUENTA,ACUENTA,Legumbres,1950.0,1
GENERICA,ACUENTA,Despensa General,560.0,0
GENERICA,ACUENTA,Harinas,1250.0,1
NETO,ACUENTA,Legumbres,1390.0,1
LIDER,ACUENTA,Legumbres,950.0,1
GENERICA,ACUENTA,Arroz,450.0,1
LOBOS,ACUENTA,Despensa General,420.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
MAGGI,ACUENTA,Despensa General,630.0,0
GENERICA,ACUENTA,Despensa General,2000.0,0
GENERICA,ACUENTA,Despensa General,560.0,0
BANQUETE,ACUENTA,Legumbres,2000.0,1
GENERICA,ACUENTA,Despensa General,2150.0,0
NETO,ACUENTA,Despensa General,1490.0,0
GENERICA,ACUENTA,Pastas,2450.0,2
MAGGI,ACUENTA,Despensa General,890.0,0
SELECTA,ACUENTA,Harinas,1990.0,1
ACUENTA,ACUENTA,Arroz,850.0,1
TUCAPEL,ACUENTA,Arroz,1390.0,1
GENERICA,ACUENTA,Arroz,740.0,1
GENERICA,ACUENTA,Despensa General,1950.0,0
GENERICA,ACUENTA,Despensa General,740.0,0
GENERICA,ACUENTA,Despensa General,560.0,0
GENERICA,ACUENTA,Pastas,450.0,2
LIDER,ACUENTA,Harinas,890.0,1
NETO,ACUENTA,Despensa General,1650.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
ACUENTA,ACUENTA,Pastas,430.0,2
GENERICA,ACUENTA,Despensa General,770.0,0
LIDER,ACUENTA,Aceites,1650.0,1
CAROZZI,ACUENTA,Pastas,990.0,2
NETO,ACUENTA,Aceites,1390.0,1
LIDER,ACUENTA,Legumbres,950.0,1
ACUENTA,ACUENTA,Harinas,790.0,1
GENERICA,ACUENTA,Despensa General,740.0,0
GENERICA,ACUENTA,Despensa General,560.0,0
ACUENTA,ACUENTA,Pastas,430.0,2
GENERICA,ACUENTA,Despensa General,630.0,0
GENERICA,ACUENTA,Pastas,450.0,2
LIDER,ACUENTA,Despensa General,2990.0,0
LUCCHETTI,ACUENTA,Despensa General,770.0,0
MAGGI,ACUENTA,Despensa General,1000.0,0
CAROZZI,ACUENTA,Pastas,1250.0,2
KRAFT,ACUENTA,Salsas,6590.0,1
GENERICA,ACUENTA,Despensa General,740.0,0
GENERICA,ACUENTA,Pastas,1090.0,2
GENERICA,ACUENTA,Arroz,1950.0,1
ACUENTA,ACUENTA,Harinas,3990.0,1
GENERICA,ACUENTA,Harinas,1250.0,1
LIDER,ACUENTA,Despensa General,4690.0,0
NETO,ACUENTA,Conservas,1350.0,1
LUCCHETTI,ACUENTA,Pastas,970.0,2
KRAFT,ACUENTA,Salsas,9890.0,1
NETO,ACUENTA,Aceites,1350.0,1
GENERICA,ACUENTA,Despensa General,2250.0,0
LIDER,ACUENTA,Pastas,750.0,2
ACE,ACUENTA,Aceites,8990.0,1
LIDER,ACUENTA,Harinas,890.0,1
LUCCHETTI,ACUENTA,Pastas,970.0,2
SELECTA,ACUENTA,Harinas,7090.0,1
KRAFT,ACUENTA,Salsas,4490.0,1
SELECTA,ACUENTA,Harinas,1350.0,1
LIDER,ACUENTA,Pastas,750.0,2
SELECTA,ACUENTA,Harinas,1350.0,1
LIDER,ACUENTA,Aceites,1890.0,1
LIDER,ACUENTA,Salsas,3890.0,1
LIDER,ACUENTA,Salsas,3390.0,1
ACE,ACUENTA,Aceites,8390.0,1
ACE,ACUENTA,Aceites,5190.0,1
LUCCHETTI,ACUENTA,Pastas,970.0,2
KRAFT,ACUENTA,Despensa General,2790.0,0
NETO,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Harinas,17990.0,1
CAROZZI,ACUENTA,Despensa General,1390.0,0
GENERICA,ACUENTA,Despensa General,590.0,0
GENERICA,ACUENTA,Pastas,970.0,2
NETO,ACUENTA,Despensa General,1650.0,0
GENERICA,ACUENTA,Despensa General,2690.0,0
NETO,ACUENTA,Despensa General,1750.0,0
GENERICA,ACUENTA,Despensa General,1750.0,0
LIDER,ACUENTA,Pastas,750.0,2
LIDER,ACUENTA,Pastas,750.0,2
LIDER,ACUENTA,Despensa General,1890.0,0
GENERICA,ACUENTA,Pastas,590.0,2
GENERICA,ACUENTA,Despensa General,2250.0,0
NETO,ACUENTA,Despensa General,2290.0,0
LIDER,ACUENTA,Despensa General,3490.0,0
NETO,ACUENTA,Despensa General,2290.0,0
LIDER,ACUENTA,Aceites,4690.0,1
ACE,ACUENTA,Aceites,4590.0,1
GENERICA,ACUENTA,Salsas,4790.0,1
LIDER,ACUENTA,Despensa General,2590.0,0
LIDER,ACUENTA,Despensa General,1390.0,0
LIDER,ACUENTA,Aceites,3000.0,1
GENERICA,ACUENTA,Harinas,1050.0,1
GENERICA,ACUENTA,Despensa General,2290.0,0
LIDER,ACUENTA,Harinas,2190.0,1
CAROZZI,ACUENTA,Pastas,830.0,2
