marca,supermercado,categoria,precio,supermercado_index,categoria_index,features,scaledFeatures,prediction,categoria_limpia
GENERICA,ACUENTA,DESPENSA GENERAL,3790.0,2.0,2.0,"[3790.0,2.0,2.0]","[0.5504256570348375,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
TUCAPEL,ACUENTA,ARROZ,1000.0,2.0,23.0,"[1000.0,2.0,23.0]","[0.14523104407251647,1.4929485166195389,3.663341560824116]",1,DESPENSA Y ABARROTES
ACUENTA,ACUENTA,ACEITES,1390.0,2.0,17.0,"[1390.0,2.0,17.0]","[0.2018711512607979,1.4929485166195389,2.707687240609129]",1,DESPENSA Y ABARROTES
ACUENTA,ACUENTA,HARINAS,790.0,2.0,20.0,"[790.0,2.0,20.0]","[0.11473252481728802,1.4929485166195389,3.1855144007166225]",1,DESPENSA Y ABARROTES
ACE,ACUENTA,ACEITES,2850.0,2.0,17.0,"[2850.0,2.0,17.0]","[0.41390847560667193,1.4929485166195389,2.707687240609129]",1,DESPENSA Y ABARROTES
NETO,ACUENTA,ACEITES,1850.0,2.0,17.0,"[1850.0,2.0,17.0]","[0.26867743153415546,1.4929485166195389,2.707687240609129]",1,DESPENSA Y ABARROTES
TUCAPEL,ACUENTA,ARROZ,2150.0,2.0,23.0,"[2150.0,2.0,23.0]","[0.3122467447559104,1.4929485166195389,3.663341560824116]",1,DESPENSA Y ABARROTES
GENERICA,ACUENTA,DESPENSA GENERAL,940.0,2.0,2.0,"[940.0,2.0,2.0]","[0.1365171814281655,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
SELECTA,ACUENTA,HARINAS,2000.0,2.0,20.0,"[2000.0,2.0,20.0]","[0.29046208814503294,1.4929485166195389,3.1855144007166225]",1,DESPENSA Y ABARROTES
GENERICA,ACUENTA,DESPENSA GENERAL,1750.0,2.0,2.0,"[1750.0,2.0,2.0]","[0.25415432712690383,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
CAROZZI,ACUENTA,PASTAS,990.0,2.0,7.0,"[990.0,2.0,7.0]","[0.1437787336317913,1.4929485166195389,1.114930040250818]",2,DESPENSA Y ABARROTES
GENERICA,ACUENTA,PASTAS,970.0,2.0,7.0,"[970.0,2.0,7.0]","[0.14087411275034098,1.4929485166195389,1.114930040250818]",2,DESPENSA Y ABARROTES
IANSA,ACUENTA,AZUCARES,1290.0,2.0,22.0,"[1290.0,2.0,22.0]","[0.18734804685354625,1.4929485166195389,3.504065840788285]",1,DESPENSA Y ABARROTES
NETO,ACUENTA,CONSERVAS,1000.0,2.0,32.0,"[1000.0,2.0,32.0]","[0.14523104407251647,1.4929485166195389,5.096823041146596]",1,DESPENSA Y ABARROTES
MIRAFLORES,ACUENTA,ARROZ,2350.0,2.0,23.0,"[2350.0,2.0,23.0]","[0.3412929535704137,1.4929485166195389,3.663341560824116]",1,DESPENSA Y ABARROTES
MIRAFLORES,ACUENTA,ACEITES,2790.0,2.0,17.0,"[2790.0,2.0,17.0]","[0.40519461296232095,1.4929485166195389,2.707687240609129]",1,DESPENSA Y ABARROTES
LIDER,ACUENTA,AZUCARES,1000.0,2.0,22.0,"[1000.0,2.0,22.0]","[0.14523104407251647,1.4929485166195389,3.504065840788285]",1,DESPENSA Y ABARROTES
ACUENTA,ACUENTA,DESPENSA GENERAL,1000.0,2.0,2.0,"[1000.0,2.0,2.0]","[0.14523104407251647,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
ACUENTA,ACUENTA,DESPENSA GENERAL,270.0,2.0,2.0,"[270.0,2.0,2.0]","[0.03921238189957945,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
GENERICA,ACUENTA,DESPENSA GENERAL,1000.0,2.0,2.0,"[1000.0,2.0,2.0]","[0.14523104407251647,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
CAROZZI,ACUENTA,DESPENSA GENERAL,940.0,2.0,2.0,"[940.0,2.0,2.0]","[0.1365171814281655,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
LA ROMA,ACUENTA,ARROZ,1000.0,2.0,23.0,"[1000.0,2.0,23.0]","[0.14523104407251647,1.4929485166195389,3.663341560824116]",1,DESPENSA Y ABARROTES
KRAFT,ACUENTA,SALSAS,2890.0,2.0,27.0,"[2890.0,2.0,27.0]","[0.41971771736957264,1.4929485166195389,4.30044444096744]",1,DESPENSA Y ABARROTES
GENERICA,ACUENTA,DESPENSA GENERAL,2350.0,2.0,2.0,"[2350.0,2.0,2.0]","[0.3412929535704137,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
GENERICA,ACUENTA,DESPENSA GENERAL,2290.0,2.0,2.0,"[2290.0,2.0,2.0]","[0.33257909092606275,1.4929485166195389,0.31855144007166225]",0,DESPENSA Y ABARROTES
