nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
Pechuga Pavo Ahumada 125 g Sopraval,SOPRAVAL,Acuenta,Aves,2150.0,4135.6375,-48.01,2
Paté de Pollo 125 g Pf,PF,Acuenta,Aves,590.0,4135.6375,-85.73,0
Pizza Pollo Champiñon 1 Un Acuenta,ACUENTA,Acuenta,Aves,2890.0,4135.6375,-30.12,0
Pechuga de Pavo Cocida Corte Pluma 125 g La Pre...,GENÉRICA,Acuenta,Aves,2890.0,4135.6375,-30.12,0
Pechuga de Pavo ahumada corte pluma 125 g La Pr...,GENÉRICA,Acuenta,Aves,2850.0,4135.6375,-31.09,0
Pasta Pollo Ciboulette 125 g La Preferida...,GENÉRICA,Acuenta,Aves,1150.0,4135.6375,-72.19,0
Pechuga de Pollo Cocida Bolsa 150 g PF,PF,Acuenta,Aves,2090.0,4135.6375,-49.46,0
Pechuga de Pavo Cocida 125 g Sopraval,SOPRAVAL,Acuenta,Aves,2150.0,4135.6375,-48.01,2
Pechuga de Pavo Asada 125 g Sopraval,SOPRAVAL,Acuenta,Aves,2150.0,4135.6375,-48.01,2
Pollo Trutro Entero Congelado 2 kg Seara,GENÉRICA,Acuenta,Aves,4790.0,4135.6375,15.82,0
"Pollo Entero Supremo congelado 4,2 kg Sadia...",SADIA,Acuenta,Aves,17178.0,4135.6375,315.37,2
Pollo Cubitos de Pechuga Congelados 500 g Super...,GENÉRICA,Acuenta,Aves,4890.0,4135.6375,18.24,0
Pollo Tuto Deshuesado Congelado 750 g Super Pol...,GENÉRICA,Acuenta,Aves,3890.0,4135.6375,-5.94,0
"Pollo Entero 2,2 kg Seara",GENÉRICA,Acuenta,Aves,7690.0,4135.6375,85.94,0
Trutro Entero Congelado 350 g Seara,GENÉRICA,Acuenta,Aves,1050.0,4135.6375,-74.61,0
Pollo Trutro Corto Envasado 1 kg Ariztia,GENÉRICA,Acuenta,Aves,3790.0,4135.6375,-8.36,0
Corazón de Pollo 500 g Ariztia,GENÉRICA,Acuenta,Aves,2190.0,4135.6375,-47.05,0
Pollo Trutro Largo Congelado 800 g Seara,GENÉRICA,Acuenta,Aves,2790.0,4135.6375,-32.54,0
Pollo Pechuga Con Hueso y Piel Congelada 800 g ...,GENÉRICA,Acuenta,Aves,3490.0,4135.6375,-15.61,0
Pollo Alitas Congeladas 1 kg El Buen Corte...,GENÉRICA,Acuenta,Aves,3890.0,4135.6375,-5.94,0
Pollo Pechuga Entera Envasada 900 g Ariztia...,GENÉRICA,Acuenta,Aves,4671.0,4135.6375,12.95,0
Pollo entero con Menudencia 1900 Kg Super pollo...,SUPER POLLO,Acuenta,Aves,7797.0,4135.6375,88.53,0
Pollo Trutro Corto Envasado 900 g Super Pollo...,SUPER POLLO,Acuenta,Aves,3321.0,4135.6375,-19.7,0
Pollo En Tiritas de Pechuga Congelado 700 g Sup...,GENÉRICA,Acuenta,Aves,7190.0,4135.6375,73.85,0
Pollo Pechuga Deshuesada Congelada 750 g Super ...,GENÉRICA,Acuenta,Aves,4690.0,4135.6375,13.4,0
Pollo Trutro Largo Congelado 800 g Super Pollo...,SUPER POLLO,Acuenta,Aves,3000.0,4135.6375,-27.46,0
Pollo Pechuga Deshuesada Envasada 500 g Ariztia...,GENÉRICA,Acuenta,Aves,3890.0,4135.6375,-5.94,0
Pollo Trutro Corto Congelado 800 g Super Pollo...,SUPER POLLO,Acuenta,Aves,3000.0,4135.6375,-27.46,0
Pollo Trutro Entero Envasado 2 Un 830 g Super P...,GENÉRICA,Acuenta,Aves,2814.0,4135.6375,-31.96,0
Pollo Pechuga Entera Envasada 1 kg Super Pollo...,SUPER POLLO,Acuenta,Aves,4550.0,4135.6375,10.02,0
Pollo Pechuga Deshuesada Envasada 850 g Super P...,GENÉRICA,Acuenta,Aves,5090.0,4135.6375,23.08,0
Pollo Filetitos Congelados 700 g Super Pollo...,SUPER POLLO,Acuenta,Aves,4590.0,4135.6375,10.99,0
Pollo Pechuga Deshuesada Congelada 1 kg El Buen...,GENÉRICA,Acuenta,Aves,4190.0,4135.6375,1.31,0
Pollo Trutro Ala Congelado 1 kg Seara,GENÉRICA,Acuenta,Aves,2918.0,4135.6375,-29.44,0
Pollo Trutro Corto Congelado 800 g Seara,GENÉRICA,Acuenta,Aves,2243.0,4135.6375,-45.76,0
Pollo Trutro Entero Congelado 2 kg Super Pollo...,SUPER POLLO,Acuenta,Aves,4651.0,4135.6375,12.46,0
Pollo Pechuga Deshuesada Congelada 700 g Arizt...,GENÉRICA,Acuenta,Aves,4893.0,4135.6375,18.31,0
Pechuga de Pavo ahumada corte pluma 125 g La Pr...,GENÉRICA,ACUENTA,Aves,2490.0,4135.6375,-39.79,0
Pasta Pollo Ciboulette 125 g La Preferida...,GENÉRICA,ACUENTA,Aves,1150.0,4135.6375,-72.19,0
Pechuga de Pavo Cocida Corte Pluma 125 g Receta...,GENÉRICA,ACUENTA,Aves,3390.0,4135.6375,-18.03,0
Pechuga de Pollo Cocida Bolsa 150 g PF,PF,ACUENTA,Aves,2090.0,4135.6375,-49.46,0
Pechuga de Pavo Cocida Corte Pluma 125 g La Pre...,GENÉRICA,ACUENTA,Aves,2690.0,4135.6375,-34.96,0
Pechuga de Pavo Cocida Corte Pluma 125 gr PF...,PF,ACUENTA,Aves,2290.0,4135.6375,-44.63,0
Pechuga de Pavo Asada 125 g Sopraval,SOPRAVAL,ACUENTA,Aves,2150.0,4135.6375,-48.01,2
Pechuga de Pavo Cocida 125 g Sopraval,SOPRAVAL,ACUENTA,Aves,2150.0,4135.6375,-48.01,2
Pizza Pollo Champiñon 1 Un Acuenta,ACUENTA,ACUENTA,Aves,2800.0,4135.6375,-32.3,0
"Pollo Entero 2,2 kg Seara",GENÉRICA,ACUENTA,Aves,8590.0,4135.6375,107.71,0
Pollo Trutro Entero Congelado 2 kg Super Pollo...,SUPER POLLO,ACUENTA,Aves,6690.0,4135.6375,61.76,0
Pollo Trutro Entero Deshuesado Congelado 800 g ...,GENÉRICA,ACUENTA,Aves,3590.0,4135.6375,-13.19,0
Pollo Trutro Corto Congelado 800 g Seara,GENÉRICA,ACUENTA,Aves,2990.0,4135.6375,-27.7,0
"Pollo Entero Supremo congelado 4,2 kg Sadia...",SADIA,ACUENTA,Aves,17178.0,4135.6375,315.37,2
Pollo Pechuga Deshuesada Congelada 800 g Seara...,GENÉRICA,ACUENTA,Aves,6390.0,4135.6375,54.51,0
Trutro Entero Congelado 350 g Seara,GENÉRICA,ACUENTA,Aves,1050.0,4135.6375,-74.61,0
Pana De Pollo Congelada 600 g Ariztia,GENÉRICA,ACUENTA,Aves,1890.0,4135.6375,-54.3,0
Corazón de Pollo 500 g Ariztia,GENÉRICA,ACUENTA,Aves,2190.0,4135.6375,-47.05,0
Pollo Alitas Congeladas 1 kg El Buen Corte...,GENÉRICA,ACUENTA,Aves,3890.0,4135.6375,-5.94,0
Pollo En Tiritas de Pechuga Congelado 700 g Sup...,GENÉRICA,ACUENTA,Aves,7190.0,4135.6375,73.85,0
Pollo Cubitos de Pechuga Congelados 500 g Super...,GENÉRICA,ACUENTA,Aves,4990.0,4135.6375,20.66,0
Pollo Pechuga Entera Envasada 900 g Ariztia...,GENÉRICA,ACUENTA,Aves,5211.0,4135.6375,26.0,0
Pollo Trutro Entero Envasado 900 g Ariztia...,GENÉRICA,ACUENTA,Aves,3321.0,4135.6375,-19.7,0
