sku_id,tienda,marca,formato_raw,precio_raw,rating,opiniones,precio_kg,especialidad,id_registro_unico,marca_cat,especialidad_cat
Prescription Diet Food Sensitives z/d pienso para perros,Kiwoko,Hill's,"Prescription Diet Food Sensitives z/d pienso para perros 9.02€ el kg
Desde 9.02€ / kg",41.99,4.8,414,9.02,Dermatological,Hill's_Dermatological_Prescription Diet Food Sensitives z/d pienso para perros,0,4
Veterinary Diets Hypoallergenic pienso para perros,Kiwoko,Advance,"Veterinary Diets Hypoallergenic pienso para perros 6.86€ el kg
Desde 6.86€ / kg",30.19,4.7,100,6.86,Hypoallergenic,Advance_Hypoallergenic_Veterinary Diets Hypoallergenic pienso para perros,1,3
Gastroenteric Pollo sobre para perros mini,Kiwoko,Advance,"Gastroenteric Pollo sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,4.7,26,16.58,Digestive,Advance_Digestive_Gastroenteric Pollo sobre para perros mini,1,2
Veterinary Diets Struvite pienso para perros,Kiwoko,Nath,"Veterinary Diets Struvite pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,134,4.67,Urinary,Nath_Urinary_Veterinary Diets Struvite pienso para perros,3,5
Weight Balance Pollo Sobre para perros mini,Kiwoko,Advance,"Weight Balance Pollo Sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,5.0,11,16.58,Weight management,Advance_Weight management_Weight Balance Pollo Sobre para perros mini,1,1
Veterinary Diets Hypoallergenic lata para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,73,5.51,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic lata para perros,3,3
Veterinary Hypoallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Hypoallergenic pienso para perros 7.00€ el kg
Desde 7.00€ / kg",28.09,4.7,288,7.0,Hypoallergenic,Royal Canin_Hypoallergenic_Veterinary Hypoallergenic pienso para perros,4,3
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Prescription Diet Digestive Care i/d Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Pollo pienso para perros 6.80€ el kg
Desde 6.80€ / kg",18.39,4.7,164,6.8,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Pollo pienso para perros,0,0
Veterinary Diets Hypoallergenic Pienso para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic Pienso para perros 5.15€ el kg
Desde 5.15€ / kg",21.99,4.7,241,5.15,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic Pienso para perros,3,3
